,Date,Actual,Predicted
0,2013-01-29,[28.45000076],[29.04040653]
1,2013-01-30,[27.94000053],[28.72210836]
2,2013-01-31,[28.09000015],[28.25401252]
3,2013-02-01,[28.17000008],[28.1562522]
4,2013-02-04,[27.95999908],[28.2592624]
5,2013-02-05,[28.59000015],[28.19375843]
6,2013-02-06,[28.52000046],[28.47724062]
7,2013-02-07,[28.46999931],[28.63662654]
8,2013-02-08,[28.56999969],[28.62052814]
9,2013-02-11,[28.53000069],[28.63943405]
10,2013-02-12,[28.54999924],[28.64756731]
11,2013-02-13,[28.67000008],[28.65986194]
12,2013-02-14,[27.75],[28.7360253]
13,2013-02-15,[27.76000023],[28.23860682]
14,2013-02-19,[27.68000031],[27.91838909]
15,2013-02-20,[27.10000038],[27.82876466]
16,2013-02-21,[26.51000023],[27.50089741]
17,2013-02-22,[27.11000061],[26.95866632]
18,2013-02-25,[26.32999992],[27.0523448]
19,2013-02-26,[26.82999992],[26.80076648]
20,2013-02-27,[27.39999962],[26.86780195]
21,2013-02-28,[27.14999962],[27.29512429]
22,2013-03-01,[27.20999908],[27.3927719]
23,2013-03-04,[27.09000015],[27.36851535]
24,2013-03-05,[27.57999992],[27.28095233]
25,2013-03-06,[27.90999985],[27.52582679]
26,2013-03-07,[27.87999916],[27.89170734]
27,2013-03-08,[28.],[28.02851474]
28,2013-03-11,[28.30999947],[28.08991331]
29,2013-03-12,[28.37000084],[28.29365758]
30,2013-03-13,[28.06999969],[28.45131108]
31,2013-03-14,[28.15999985],[28.31958178]
32,2013-03-15,[28.20999908],[28.25753665]
33,2013-03-18,[28.04000092],[28.30036289]
34,2013-03-19,[28.10000038],[28.23941883]
35,2013-03-20,[29.20000076],[28.21762511]
36,2013-03-21,[28.62999916],[28.86498574]
37,2013-03-22,[28.21999931],[28.93616195]
38,2013-03-25,[28.15999985],[28.54194533]
39,2013-03-26,[28.14999962],[28.28695351]
40,2013-03-27,[28.05999947],[28.25810169]
41,2013-03-28,[27.81999969],[28.23686199]
42,2013-04-01,[27.79999924],[28.06886117]
43,2013-04-02,[27.93000031],[27.95454174]
44,2013-04-03,[27.79999924],[28.00764939]
45,2013-04-04,[27.73999977],[27.98794174]
46,2013-04-05,[27.52000046],[27.91605009]
47,2013-04-08,[27.59000015],[27.7516718]
48,2013-04-09,[27.53000069],[27.71175197]
49,2013-04-10,[28.37000084],[27.69544975]
50,2013-04-11,[29.71999931],[28.16974678]
51,2013-04-12,[29.62000084],[29.24586618]
52,2013-04-15,[28.90999985],[29.72511649]
53,2013-04-16,[29.46999931],[29.30630253]
54,2013-04-17,[29.27000046],[29.31947407]
55,2013-04-18,[28.97999954],[29.38781716]
56,2013-04-19,[29.14999962],[29.22514986]
57,2013-04-22,[29.25],[29.19803809]
58,2013-04-23,[29.85000038],[29.29590619]
59,2013-04-24,[30.45000076],[29.7106144]
60,2013-04-25,[30.70999908],[30.28993692]
61,2013-04-26,[30.5],[30.68298441]
62,2013-04-29,[30.79000092],[30.64806646]
63,2013-04-30,[30.84000015],[30.73050977]
64,2013-05-01,[30.18000031],[30.86160132]
65,2013-05-02,[31.15999985],[30.5101354]
66,2013-05-03,[32.09999847],[30.85801149]
67,2013-05-06,[31.81999969],[31.76781806]
68,2013-05-07,[31.64999962],[32.01263803]
69,2013-05-08,[32.08000183],[31.78144207]
70,2013-05-09,[31.64999962],[31.91702626]
71,2013-05-10,[31.42000008],[31.83970432]
72,2013-05-13,[31.],[31.57968026]
