,Date,Actual,Predicted
0,2013-01-29,[95.59999847],[96.2285872]
1,2013-01-30,[95.59999847],[96.23493479]
2,2013-01-31,[95.37000275],[96.30661657]
3,2013-02-01,[98.12999725],[96.27211095]
4,2013-02-04,[97.83000183],[97.43068232]
5,2013-02-05,[98.86000061],[98.22075579]
6,2013-02-06,[102.80000305],[98.97574377]
7,2013-02-07,[102.80000305],[101.1080747]
8,2013-02-08,[104.44999695],[102.60654914]
9,2013-02-11,[105.93000031],[103.94034834]
10,2013-02-12,[104.83000183],[105.26261744]
11,2013-02-13,[104.20999908],[105.43594959]
12,2013-02-14,[102.63999939],[104.91600414]
13,2013-02-15,[102.59999847],[103.77910922]
14,2013-02-19,[102.51999664],[103.09916677]
15,2013-02-20,[102.58999634],[102.90814091]
16,2013-02-21,[101.09999847],[102.97737053]
17,2013-02-22,[102.33999634],[102.35182905]
18,2013-02-25,[99.41999817],[102.39222213]
19,2013-02-26,[102.45999908],[101.25655185]
20,2013-02-27,[101.61000061],[101.75873123]
21,2013-02-28,[102.59999847],[102.09805659]
22,2013-03-01,[102.69000244],[102.64776293]
23,2013-03-04,[102.44000244],[102.99179505]
24,2013-03-05,[103.30000305],[102.97973951]
25,2013-03-06,[104.44999695],[103.28164441]
26,2013-03-07,[103.26000214],[104.0829108]
27,2013-03-08,[103.69000244],[104.06788137]
28,2013-03-11,[104.19000244],[104.00493978]
29,2013-03-12,[102.76000214],[104.21986875]
30,2013-03-13,[102.94999695],[103.75636086]
31,2013-03-14,[103.54000092],[103.41709677]
32,2013-03-15,[103.93000031],[103.58440183]
33,2013-03-18,[102.87000275],[104.00516408]
34,2013-03-19,[103.15000153],[103.76436972]
35,2013-03-20,[104.27999878],[103.56174966]
36,2013-03-21,[103.52999878],[104.02416586]
37,2013-03-22,[103.98999786],[104.10634503]
38,2013-03-25,[103.30999756],[104.22923524]
39,2013-03-26,[103.59999847],[103.97928008]
40,2013-03-27,[103.09999847],[103.89308507]
41,2013-03-28,[102.63999939],[103.67926428]
42,2013-04-01,[101.22000122],[103.32295588]
43,2013-04-02,[99.94999695],[102.4402739]
44,2013-04-03,[100.87999725],[101.26880669]
45,2013-04-04,[105.62999725],[101.06139647]
46,2013-04-05,[106.5],[103.4307782]
47,2013-04-08,[108.70999908],[105.73433099]
48,2013-04-09,[107.51999664],[107.82140594]
49,2013-04-10,[108.77999878],[108.16556535]
50,2013-04-11,[113.27999878],[108.44414728]
51,2013-04-12,[113.09999847],[110.88190981]
52,2013-04-15,[111.08999634],[112.71002288]
53,2013-04-16,[112.51000214],[112.30123767]
54,2013-04-17,[111.66000366],[112.11149066]
55,2013-04-18,[110.55000305],[111.84563778]
56,2013-04-19,[112.26000214],[111.19989529]
57,2013-04-22,[112.23000336],[111.63388882]
58,2013-04-23,[112.94000244],[112.18104787]
59,2013-04-24,[113.69000244],[112.77143448]
60,2013-04-25,[115.83999634],[113.40663377]
61,2013-04-26,[115.48000336],[114.80524458]
62,2013-04-29,[116.54000092],[115.53200165]
63,2013-04-30,[116.30000305],[116.1567328]
64,2013-05-01,[113.72000122],[116.33399897]
65,2013-05-02,[114.37999725],[114.9848321]
66,2013-05-03,[114.91999817],[114.25538814]
67,2013-05-06,[115.02999878],[114.52089218]
68,2013-05-07,[116.08000183],[115.00556173]
69,2013-05-08,[119.69999695],[115.74071616]
70,2013-05-09,[118.13999939],[117.97143624]
71,2013-05-10,[121.27999878],[118.68100126]
72,2013-05-13,[124.83000183],[120.03453188]
73,2013-05-14,[124.15000153],[122.82481024]
74,2013-05-15,[126.59999847],[124.24613688]
75,2013-05-16,[125.12000275],[125.6114432]
76,2013-05-17,[127.31999969],[125.52879198]
77,2013-05-20,[128.6499939],[126.24401253]
78,2013-05-21,[129.72000122],[127.70641742]
79,2013-05-22,[127.83999634],[129.16380363]
80,2013-05-23,[124.66000366],[128.70506267]
81,2013-05-24,[120.52999878],[126.0998433]
82,2013-05-28,[123.18000031],[122.19176565]
83,2013-05-29,[119.56999969],[121.72626861]
84,2013-05-30,[120.45999908],[120.91944218]
85,2013-05-31,[117.55000305],[120.59393944]
86,2013-06-03,[116.20999908],[118.98974982]
87,2013-06-04,[118.26000214],[117.09981458]
88,2013-06-05,[114.87000275],[117.30522482]
89,2013-06-06,[114.48000336],[116.36554188]
90,2013-06-07,[117.05999756],[115.17999969]
91,2013-06-10,[121.15000153],[115.89896141]
92,2013-06-11,[119.91999817],[118.97784679]
93,2013-06-12,[119.12999725],[120.41294101]
94,2013-06-13,[121.30000305],[119.8894122]
95,2013-06-14,[117.37999725],[120.22477741]
96,2013-06-17,[120.37999725],[118.84470772]
97,2013-06-18,[122.29000092],[119.20355579]
98,2013-06-19,[120.77999878],[121.0525891]
99,2013-06-20,[117.05999756],[121.50439645]
100,2013-06-21,[119.55000305],[119.10900112]
101,2013-06-24,[116.52999878],[118.47832754]
102,2013-06-25,[117.29000092],[117.49414653]
103,2013-06-26,[118.05999756],[117.23876554]
104,2013-06-27,[121.73999786],[117.71808014]
105,2013-06-28,[120.66000366],[120.02386232]
106,2013-07-01,[123.01999664],[121.05143934]
107,2013-07-02,[124.47000122],[122.17497409]
108,2013-07-03,[124.51999664],[123.56151159]
109,2013-07-05,[125.26999664],[124.35661589]
110,2013-07-08,[124.90000153],[124.90310763]
111,2013-07-09,[126.19999695],[124.92807188]
112,2013-07-10,[126.76999664],[125.50954406]
113,2013-07-11,[129.28999329],[126.32978873]
114,2013-07-12,[129.69000244],[128.09663729]
115,2013-07-15,[129.63999939],[129.39796823]
116,2013-07-16,[128.91000366],[129.70042628]
117,2013-07-17,[130.83999634],[129.12459278]
118,2013-07-18,[130.80000305],[129.74503807]
119,2013-07-19,[130.36000061],[130.53732636]
120,2013-07-22,[130.30000305],[130.60298659]
121,2013-07-23,[129.47999573],[130.29352925]
122,2013-07-24,[128.42999268],[129.6628088]
123,2013-07-25,[127.55000305],[128.76618392]
124,2013-07-26,[124.48999786],[127.8415249]
125,2013-07-29,[120.25],[125.79841583]
126,2013-07-30,[122.58999634],[122.22863092]
127,2013-07-31,[121.90000153],[121.49508758]
128,2013-08-01,[126.23999786],[121.91055213]
129,2013-08-02,[134.33000183],[124.52267343]
130,2013-08-05,[129.50999451],[130.54273262]
131,2013-08-06,[129.69999695],[131.65949123]
132,2013-08-07,[127.55999756],[130.15845654]
133,2013-08-08,[128.02999878],[127.86799359]
134,2013-08-09,[127.56999969],[127.29331717]
135,2013-08-12,[128.32000732],[127.51449121]
136,2013-08-13,[130.19999695],[128.11334138]
137,2013-08-14,[129.27000427],[129.39311718]
138,2013-08-15,[127.44999695],[129.64301194]
139,2013-08-16,[128.88000488],[128.33165986]
140,2013-08-19,[128.19999695],[128.08256235]
141,2013-08-20,[126.76999664],[128.16853284]
142,2013-08-21,[122.86000061],[127.47311737]
143,2013-08-22,[124.76999664],[124.70550807]
144,2013-08-23,[127.01000214],[123.87456668]
145,2013-08-26,[125.19000244],[125.58515222]
146,2013-08-27,[124.04000092],[126.09390341]
147,2013-08-28,[123.91000366],[124.97856884]
148,2013-08-29,[123.88999939],[123.90848698]
149,2013-08-30,[120.79000092],[123.64274641]
150,2013-09-03,[124.30000305],[122.17511373]
151,2013-09-04,[125.83999634],[122.88172135]
152,2013-09-05,[125.63999939],[124.82794507]
153,2013-09-06,[125.55000305],[125.85467112]
154,2013-09-09,[126.80000305],[125.77892144]
155,2013-09-10,[127.37999725],[126.10684737]
